Tipo de profesional;Sexo;años;Total
Enfermeros con título de Practicantes y ATS;Hombres;1985;..
Enfermeros con título de Practicantes y ATS;Hombres;1984;..
Enfermeros con título de Practicantes y ATS;Hombres;1983;..
Enfermeros con título de Practicantes y ATS;Hombres;1982;..
Enfermeros con título de Practicantes y ATS;Hombres;1981;..
Enfermeros con título de Practicantes y ATS;Hombres;1980;..
Enfermeros con título de Practicantes y ATS;Hombres;1979;..
Enfermeros con título de Practicantes y ATS;Hombres;1978;..
Enfermeros con título de Practicantes y ATS;Hombres;1977;..
Enfermeros con título de Practicantes y ATS;Hombres;1976;24.062
Enfermeros con título de Practicantes y ATS;Hombres;1975;..
Enfermeros con título de Practicantes y ATS;Hombres;1974;20.903
Enfermeros con título de Practicantes y ATS;Hombres;1973;19.696
Enfermeros con título de Practicantes y ATS;Hombres;1972;18.993
Enfermeros con título de Practicantes y ATS;Hombres;1971;18.430
Enfermeros con título de Practicantes y ATS;Hombres;1970;18.163
Enfermeros con título de Practicantes y ATS;Hombres;1969;17.978
Enfermeros con título de Practicantes y ATS;Hombres;1968;17.895
Enfermeros con título de Practicantes y ATS;Hombres;1967;17.955
Enfermeros con título de Practicantes y ATS;Hombres;1966;17.907
Enfermeros con título de Practicantes y ATS;Hombres;1965;17.813
Enfermeros con título de Practicantes y ATS;Hombres;1964;17.842
Enfermeros con título de Practicantes y ATS;Hombres;1963;17.904
Enfermeros con título de Practicantes y ATS;Hombres;1962;18.056
Enfermeros con título de Practicantes y ATS;Hombres;1961;18.160
Enfermeros con título de Practicantes y ATS;Hombres;1960;18.268
Enfermeros con título de Practicantes y ATS;Hombres;1959;18.147
Enfermeros con título de Practicantes y ATS;Hombres;1958;18.113
Enfermeros con título de Practicantes y ATS;Hombres;1957;17.926
Enfermeros con título de Practicantes y ATS;Hombres;1956;17.902
Enfermeros con título de Practicantes y ATS;Hombres;1955;18.152
Enfermeros con título de Practicantes y ATS;Hombres;1954;17.882
Enfermeros con título de Practicantes y ATS;Hombres;1953;17.054
Enfermeros con título de Practicantes y ATS;Hombres;1952;..
Enfermeros con título de Practicantes y ATS;Mujeres;2021;..
Enfermeros con título de Practicantes y ATS;Mujeres;2020;..
Enfermeros con título de Practicantes y ATS;Mujeres;2019;..
Enfermeros con título de Practicantes y ATS;Mujeres;2018;..
Enfermeros con título de Practicantes y ATS;Mujeres;2017;..
Enfermeros con título de Practicantes y ATS;Mujeres;2016;..
Enfermeros con título de Practicantes y ATS;Mujeres;2015;..
Enfermeros con título de Practicantes y ATS;Mujeres;2014;..
Enfermeros con título de Practicantes y ATS;Mujeres;2013;..
Enfermeros con título de Practicantes y ATS;Mujeres;2012;..
Enfermeros con título de Practicantes y ATS;Mujeres;2011;..
Enfermeros con título de Practicantes y ATS;Mujeres;2010;..
Enfermeros con título de Practicantes y ATS;Mujeres;2009;..
Enfermeros con título de Practicantes y ATS;Mujeres;2008;..
Enfermeros con título de Practicantes y ATS;Mujeres;2007;..
Enfermeros con título de Practicantes y ATS;Mujeres;2006;..
Enfermeros con título de Practicantes y ATS;Mujeres;2005;..
Enfermeros con título de Practicantes y ATS;Mujeres;2004;..
Enfermeros con título de Practicantes y ATS;Mujeres;2003;..
Enfermeros con título de Practicantes y ATS;Mujeres;2002;..
Enfermeros con título de Practicantes y ATS;Mujeres;2001;..
Enfermeros con título de Practicantes y ATS;Mujeres;2000;..
Enfermeros con título de Practicantes y ATS;Mujeres;1999;..
Enfermeros con título de Practicantes y ATS;Mujeres;1998;..
Enfermeros con título de Practicantes y ATS;Mujeres;1997;..
Enfermeros con título de Practicantes y ATS;Mujeres;1996;..
Enfermeros con título de Practicantes y ATS;Mujeres;1995;..
Enfermeros con título de Practicantes y ATS;Mujeres;1994;..
Enfermeros con título de Practicantes y ATS;Mujeres;1993;..
Enfermeros con título de Practicantes y ATS;Mujeres;1992;..
